id,bookmaker_1,name_1,price_1,implied_prob_1,stake_1,bookmaker_2,name_2,price_2,implied_prob_2,stake_2,expected_value,outcome_1,outcome_2,commence_time
108e8f161fea0bb6887202c5972f2579,bovada,Arsenal,1.25,0.8,0.8936170212765957,betonlineag,Nottingham Forest,10.5,0.09523809523809523,0.10638297872340424,0.10476190476190472,1.1170212765957446,1.1170212765957446,2023-08-12T11:30:00Z
108e8f161fea0bb6887202c5972f2579,bovada,Nottingham Forest,11.0,0.09090909090909091,0.1020408163265306,betonlineag,Arsenal,1.25,0.8,0.8979591836734694,0.10909090909090902,1.1224489795918366,1.1224489795918366,2023-08-12T11:30:00Z
46e89fad13b8b860d46d06c456986f26,bovada,Everton,2.25,0.4444444444444444,0.601063829787234,betonlineag,Fulham,3.39,0.2949852507374631,0.398936170212766,0.2605703048180925,1.3523936170212767,1.352393617021277,2023-08-12T14:00:00Z
46e89fad13b8b860d46d06c456986f26,bovada,Fulham,3.15,0.31746031746031744,0.4067796610169492,betonlineag,Everton,2.16,0.4629629629629629,0.5932203389830508,0.21957671957671965,1.2813559322033898,1.2813559322033898,2023-08-12T14:00:00Z
4f07a4c7058a9db2f29864c8ad4344c0,bovada,Crystal Palace,2.5,0.4,0.5404411764705882,betonlineag,Sheffield United,2.94,0.3401360544217687,0.4595588235294117,0.2598639455782312,1.3511029411764706,1.3511029411764703,2023-08-12T14:00:00Z
4f07a4c7058a9db2f29864c8ad4344c0,bovada,Sheffield United,2.95,0.3389830508474576,0.4606946983546618,betonlineag,Crystal Palace,2.52,0.3968253968253968,0.5393053016453383,0.26419155232714564,1.3590493601462523,1.3590493601462525,2023-08-12T14:00:00Z
6696291a9110a5d0810c34eeaa244a41,bovada,Brighton and Hove Albion,1.3,0.7692307692307692,0.8796296296296297,betonlineag,Luton,9.5,0.10526315789473684,0.12037037037037038,0.125506072874494,1.1435185185185186,1.1435185185185186,2023-08-12T14:00:00Z
6696291a9110a5d0810c34eeaa244a41,bovada,Luton,9.5,0.10526315789473684,0.1211840888066605,betonlineag,Brighton and Hove Albion,1.31,0.7633587786259541,0.8788159111933395,0.13137806347930903,1.1512488436632746,1.1512488436632748,2023-08-12T14:00:00Z
6befc8591ae2fb5174af39dd64c17635,bovada,Aston Villa,4.6,0.2173913043478261,0.2744479495268139,betonlineag,Newcastle United,1.74,0.5747126436781609,0.725552050473186,0.20789605197401295,1.2624605678233438,1.2624605678233438,2023-08-12T16:30:00Z
6befc8591ae2fb5174af39dd64c17635,bovada,Newcastle United,1.71,0.5847953216374269,0.7302839116719243,betonlineag,Aston Villa,4.63,0.2159827213822894,0.26971608832807575,0.19922195698028378,1.2487854889589904,1.2487854889589907,2023-08-12T16:30:00Z
8e9121db01f0d16334c43cf8ff586ca7,bovada,Manchester United,1.36,0.7352941176470588,0.8599382080329557,betonlineag,Wolverhampton Wanderers,8.35,0.11976047904191617,0.1400617919670443,0.14494540331102512,1.16951596292482,1.1695159629248197,2023-08-14T19:00:00Z
8e9121db01f0d16334c43cf8ff586ca7,bovada,Wolverhampton Wanderers,7.75,0.12903225806451613,0.14835164835164835,betonlineag,Manchester United,1.35,0.7407407407407407,0.8516483516483516,0.13022700119474317,1.1497252747252746,1.1497252747252749,2023-08-14T19:00:00Z
8f77bda60a2e394a76b139a8e0efb986,bovada,Burnley,9.0,0.1111111111111111,0.1262135922330097,betonlineag,Manchester City,1.3,0.7692307692307692,0.8737864077669902,0.11965811965811968,1.1359223300970873,1.1359223300970873,2023-08-11T19:00:00Z
8f77bda60a2e394a76b139a8e0efb986,bovada,Manchester City,1.32,0.7575757575757576,0.8791208791208791,betonlineag,Burnley,9.6,0.10416666666666667,0.1208791208791209,0.1382575757575758,1.1604395604395605,1.1604395604395605,2023-08-11T19:00:00Z
b3e1f9aa122f041603651e4852f5d64b,betonlineag,Chelsea,2.88,0.3472222222222222,0.4493307839388145,bovada,Liverpool,2.35,0.425531914893617,0.5506692160611855,0.2272458628841607,1.2940726577437858,1.294072657743786,2023-08-13T15:30:00Z
b3e1f9aa122f041603651e4852f5d64b,betonlineag,Liverpool,2.41,0.41493775933609955,0.5418250950570342,bovada,Chelsea,2.85,0.3508771929824561,0.4581749049429658,0.23418504768144432,1.3057984790874526,1.3057984790874526,2023-08-13T15:30:00Z
d27e612363f30c10a919722cb0790880,bovada,Brentford,2.9,0.3448275862068966,0.45075757575757575,betonlineag,Tottenham Hotspur,2.38,0.42016806722689076,0.5492424242424242,0.2350043465662126,1.3071969696969696,1.3071969696969696,2023-08-13T13:00:00Z
d27e612363f30c10a919722cb0790880,bovada,Tottenham Hotspur,2.35,0.425531914893617,0.5532319391634981,betonlineag,Brentford,2.91,0.3436426116838488,0.4467680608365019,0.23082547342253412,1.3000950570342207,1.3000950570342205,2023-08-13T13:00:00Z
ea006c3beecf16853eb5fde5447d77bb,bovada,Bournemouth,2.8,0.35714285714285715,0.4766355140186916,betonlineag,West Ham United,2.55,0.3921568627450981,0.5233644859813085,0.2507002801120448,1.3345794392523365,1.3345794392523365,2023-08-12T14:00:00Z
ea006c3beecf16853eb5fde5447d77bb,bovada,West Ham United,2.45,0.4081632653061224,0.5288461538461539,betonlineag,Bournemouth,2.75,0.36363636363636365,0.4711538461538462,0.228200371057514,1.295673076923077,1.295673076923077,2023-08-12T14:00:00Z
