id,bookmaker_1,name_1,price_1,implied_prob_1,stake_1,bookmaker_2,name_2,price_2,implied_prob_2,stake_2,expected_value,outcome_1,outcome_2,commence_time
36ef50d163eab8fead2e9057ea285813,bovada,Atlético Madrid,1.31,0.7633587786259541,0.8841732979664014,betonlineag,Granada CF,10.0,0.1,0.1158267020335986,0.13664122137404588,1.158267020335986,1.158267020335986,2023-08-14T19:30:00Z
36ef50d163eab8fead2e9057ea285813,bovada,Granada CF,9.5,0.10526315789473684,0.12037037037037038,betonlineag,Atlético Madrid,1.3,0.7692307692307692,0.8796296296296297,0.125506072874494,1.1435185185185186,1.1435185185185186,2023-08-14T19:30:00Z
46ca5cd3aeea242dab1eef2c3a78ba70,bovada,CA Osasuna,3.5,0.2857142857142857,0.37388193202146686,betonlineag,Celta Vigo,2.09,0.47846889952153115,0.6261180679785331,0.23581681476418315,1.308586762075134,1.3085867620751341,2023-08-13T15:00:00Z
46ca5cd3aeea242dab1eef2c3a78ba70,bovada,Celta Vigo,2.1,0.47619047619047616,0.6499999999999999,betonlineag,CA Osasuna,3.9,0.25641025641025644,0.35000000000000003,0.26739926739926734,1.3649999999999998,1.365,2023-08-13T15:00:00Z
62d86eed26b690e22c3502c09cc61548,bovada,Alavés,3.8,0.2631578947368421,0.3581081081081081,betonlineag,Cádiz CF,2.12,0.4716981132075471,0.6418918918918919,0.2651439920556108,1.3608108108108108,1.3608108108108108,2023-08-14T17:30:00Z
62d86eed26b690e22c3502c09cc61548,bovada,Cádiz CF,2.15,0.46511627906976744,0.6457990115321252,betonlineag,Alavés,3.92,0.25510204081632654,0.3542009884678748,0.27978168011390603,1.388467874794069,1.388467874794069,2023-08-14T17:30:00Z
96e115860298c071980fc8f49de2de55,bovada,Almería,2.35,0.425531914893617,0.5566037735849058,betonlineag,Rayo Vallecano,2.95,0.3389830508474576,0.44339622641509435,0.23548503425892542,1.3080188679245286,1.3080188679245284,2023-08-11T17:30:00Z
96e115860298c071980fc8f49de2de55,bovada,Rayo Vallecano,2.95,0.3389830508474576,0.4506517690875233,betonlineag,Almería,2.42,0.4132231404958678,0.5493482309124768,0.24779380865667466,1.3294227188081937,1.3294227188081937,2023-08-11T17:30:00Z
998a7bff863a8a1b64478f1e59937f34,bovada,Barcelona,1.56,0.641025641025641,0.8015267175572519,betonlineag,Getafe,6.3,0.15873015873015872,0.1984732824427481,0.2002442002442003,1.250381679389313,1.250381679389313,2023-08-13T19:30:00Z
998a7bff863a8a1b64478f1e59937f34,bovada,Getafe,6.0,0.16666666666666666,0.20634920634920637,betonlineag,Barcelona,1.56,0.641025641025641,0.7936507936507937,0.1923076923076924,1.2380952380952381,1.2380952380952381,2023-08-13T19:30:00Z
b5905ad82afda8b46bc0553db3e2d87a,bovada,Girona,5.6,0.17857142857142858,0.22437673130193905,betonlineag,Real Sociedad,1.62,0.6172839506172839,0.7756232686980609,0.20414462081128748,1.2565096952908585,1.2565096952908588,2023-08-12T15:00:00Z
b5905ad82afda8b46bc0553db3e2d87a,bovada,Real Sociedad,1.61,0.6211180124223602,0.7676767676767677,betonlineag,Girona,5.32,0.18796992481203006,0.23232323232323235,0.1909120627656098,1.2359595959595961,1.2359595959595961,2023-08-12T15:00:00Z
be44bfdf103c750fc1778bbe93b76ad3,betonlineag,Sevilla,2.04,0.49019607843137253,0.6350626118067978,bovada,Valencia,3.55,0.28169014084507044,0.36493738819320215,0.22811378072355704,1.2955277280858675,1.2955277280858675,2023-08-11T19:30:00Z
be44bfdf103c750fc1778bbe93b76ad3,betonlineag,Valencia,3.82,0.2617801047120419,0.3547297297297297,bovada,Sevilla,2.1,0.47619047619047616,0.6452702702702702,0.2620294190974819,1.3550675675675674,1.3550675675675674,2023-08-11T19:30:00Z
c297e9be0572f3def88824d9b058764a,bovada,Real Betis,4.5,0.2222222222222222,0.27419354838709675,betonlineag,Villarreal,1.7,0.5882352941176471,0.7258064516129032,0.1895424836601307,1.2338709677419355,1.2338709677419355,2023-08-13T17:30:00Z
c297e9be0572f3def88824d9b058764a,bovada,Villarreal,1.71,0.5847953216374269,0.7373271889400921,betonlineag,Real Betis,4.8,0.20833333333333334,0.26267281105990786,0.20687134502923976,1.2608294930875574,1.2608294930875577,2023-08-13T17:30:00Z
db932bfa582cb205d863633603a707bb,betonlineag,Athletic Bilbao,3.3,0.30303030303030304,0.3944954128440367,bovada,Real Madrid,2.15,0.46511627906976744,0.6055045871559633,0.23185341789992953,1.301834862385321,1.301834862385321,2023-08-12T19:30:00Z
db932bfa582cb205d863633603a707bb,betonlineag,Real Madrid,2.15,0.46511627906976744,0.6055045871559633,bovada,Athletic Bilbao,3.3,0.30303030303030304,0.3944954128440367,0.23185341789992953,1.301834862385321,1.301834862385321,2023-08-12T19:30:00Z
e2f25ad1c3f9ec51b0041f4d20606979,betonlineag,Las Palmas,2.45,0.4081632653061224,0.5701754385964911,bovada,Mallorca,3.25,0.3076923076923077,0.4298245614035088,0.28414442700156983,1.3969298245614032,1.3969298245614035,2023-08-12T17:30:00Z
e2f25ad1c3f9ec51b0041f4d20606979,betonlineag,Mallorca,3.3,0.30303030303030304,0.42608695652173917,bovada,Las Palmas,2.45,0.4081632653061224,0.5739130434782609,0.28880643166357456,1.406086956521739,1.4060869565217393,2023-08-12T17:30:00Z
