id,sport_key,bookmaker_key,market_title,name,price,last_update,commence_time,home_team,away_team,sport_title
06fc08971a7e70e236a5786ba0dc671b,soccer_epl,fliff,h2h,Draw,7.55,2024-08-31T00:25:52Z,2024-09-14T14:00:00Z,Manchester City,Brentford,EPL
ab9e62ee5632bc66cd23609a25a44812,soccer_epl,bovada,h2h,Draw,5.2,2024-08-31T00:25:51Z,2024-09-14T14:00:00Z,Brighton and Hove Albion,Ipswich Town,EPL
ab9e62ee5632bc66cd23609a25a44812,soccer_epl,fliff,h2h,Draw,4.8,2024-08-31T00:25:52Z,2024-09-14T14:00:00Z,Brighton and Hove Albion,Ipswich Town,EPL
c3b563ad6f5007355d9c0ce0e7e6f13e,soccer_epl,bovada,h2h,Draw,4.1,2024-08-31T00:25:51Z,2024-09-14T14:00:00Z,Crystal Palace,Leicester City,EPL
c3b563ad6f5007355d9c0ce0e7e6f13e,soccer_epl,fliff,h2h,Draw,3.9,2024-08-31T00:25:52Z,2024-09-14T14:00:00Z,Crystal Palace,Leicester City,EPL
3281d26485c4d33951cad339a09a59f0,soccer_epl,bovada,h2h,Draw,3.4,2024-08-31T00:25:51Z,2024-09-14T14:00:00Z,Fulham,West Ham United,EPL
3281d26485c4d33951cad339a09a59f0,soccer_epl,fliff,h2h,Draw,3.35,2024-08-31T00:25:52Z,2024-09-14T14:00:00Z,Fulham,West Ham United,EPL
432d58690dfca587c142527282d0d3a0,soccer_epl,bovada,h2h,Draw,7.0,2024-08-31T00:25:51Z,2024-09-14T14:00:00Z,Liverpool,Nottingham Forest,EPL
432d58690dfca587c142527282d0d3a0,soccer_epl,fliff,h2h,Draw,6.6,2024-08-31T00:25:52Z,2024-09-14T14:00:00Z,Liverpool,Nottingham Forest,EPL
e65a3a170d3def0f9d050d9aa1e1199a,soccer_epl,bovada,h2h,Draw,4.7,2024-08-31T00:25:51Z,2024-09-14T16:30:00Z,Aston Villa,Everton,EPL
e65a3a170d3def0f9d050d9aa1e1199a,soccer_epl,fliff,h2h,Draw,4.25,2024-08-31T00:25:52Z,2024-09-14T16:30:00Z,Aston Villa,Everton,EPL
5840ea1125fa92be303c1f8673c8d1c3,soccer_epl,bovada,h2h,Draw,3.75,2024-08-31T00:25:51Z,2024-09-14T19:00:00Z,Bournemouth,Chelsea,EPL
5840ea1125fa92be303c1f8673c8d1c3,soccer_epl,fliff,h2h,Draw,3.65,2024-08-31T00:25:52Z,2024-09-14T19:00:00Z,Bournemouth,Chelsea,EPL
2c13d2c658170f1809caf0bc268382ad,soccer_epl,bovada,h2h,Draw,3.65,2024-08-31T00:25:51Z,2024-09-15T13:00:00Z,Tottenham Hotspur,Arsenal,EPL
0e7c9c96cdb69a3f7c4c03d756878c76,soccer_epl,bovada,h2h,Draw,3.45,2024-08-31T00:25:51Z,2024-09-15T15:30:00Z,Wolverhampton Wanderers,Newcastle United,EPL
