id,sport_key,bookmaker_key,market_title,name,price,last_update,commence_time,home_team,away_team,sport_title
b2faff08cbe6bed8c9e81f0ecb69247e,soccer_spain_la_liga,bovada,h2h,Draw,3.95,2023-08-15T12:00:05Z,2023-08-25T19:30:00Z,Celta Vigo,Real Madrid,La Liga - Spain
918578167c7df15199999bf246743893,soccer_spain_la_liga,bovada,h2h,Draw,3.45,2023-08-15T12:00:05Z,2023-08-26T15:30:00Z,Cádiz CF,Almería,La Liga - Spain
c1aefca23a8f75d9932d04f083b0c16a,soccer_spain_la_liga,bovada,h2h,Draw,3.05,2023-08-15T12:00:05Z,2023-08-26T17:30:00Z,Granada CF,Mallorca,La Liga - Spain
8dc8cdfc854e15f6596c68e9d0ac9dfb,soccer_spain_la_liga,bovada,h2h,Draw,3.85,2023-08-15T12:00:05Z,2023-08-26T19:30:00Z,Sevilla,Girona,La Liga - Spain
48c49b9a163905fe1130f4b4d154111b,soccer_spain_la_liga,bovada,h2h,Draw,3.6,2023-08-15T12:00:05Z,2023-08-27T15:30:00Z,Villarreal,Barcelona,La Liga - Spain
767e28847910339c02d8a029baa0c60d,soccer_spain_la_liga,bovada,h2h,Draw,3.45,2023-08-15T12:00:05Z,2023-08-27T17:30:00Z,Valencia,CA Osasuna,La Liga - Spain
d669a001f525baaaf01743c102eb055b,soccer_spain_la_liga,bovada,h2h,Draw,3.8,2023-08-15T12:00:05Z,2023-08-27T19:30:00Z,Athletic Bilbao,Real Betis,La Liga - Spain
cd09dbdc9abbd753656ae75b6f6d4c2a,soccer_spain_la_liga,bovada,h2h,Draw,3.2,2023-08-15T12:00:05Z,2023-08-28T17:30:00Z,Getafe,Alavés,La Liga - Spain
20b2db38f83c5be0f6b8c3715cc7fce3,soccer_spain_la_liga,bovada,h2h,Draw,3.7,2023-08-15T12:00:05Z,2023-08-28T19:30:00Z,Rayo Vallecano,Atlético Madrid,La Liga - Spain
599d9bacf32f81254627fd7a0b005879,soccer_spain_la_liga,bovada,h2h,Draw,3.25,2023-08-25T11:58:34Z,2023-08-25T17:30:00Z,Las Palmas,Real Sociedad,La Liga - Spain
599d9bacf32f81254627fd7a0b005879,soccer_spain_la_liga,betonlineag,h2h,Draw,3.25,2023-08-25T11:58:34Z,2023-08-25T17:30:00Z,Las Palmas,Real Sociedad,La Liga - Spain
b2faff08cbe6bed8c9e81f0ecb69247e,soccer_spain_la_liga,bovada,h2h,Draw,4.0,2023-08-25T11:58:34Z,2023-08-25T19:30:00Z,Celta Vigo,Real Madrid,La Liga - Spain
b2faff08cbe6bed8c9e81f0ecb69247e,soccer_spain_la_liga,betonlineag,h2h,Draw,3.95,2023-08-25T11:58:34Z,2023-08-25T19:30:00Z,Celta Vigo,Real Madrid,La Liga - Spain
918578167c7df15199999bf246743893,soccer_spain_la_liga,bovada,h2h,Draw,3.35,2023-08-25T11:58:34Z,2023-08-26T17:00:00Z,Cádiz CF,Almería,La Liga - Spain
918578167c7df15199999bf246743893,soccer_spain_la_liga,betonlineag,h2h,Draw,3.35,2023-08-25T11:58:34Z,2023-08-26T17:00:00Z,Cádiz CF,Almería,La Liga - Spain
c1aefca23a8f75d9932d04f083b0c16a,soccer_spain_la_liga,bovada,h2h,Draw,3.05,2023-08-25T11:58:34Z,2023-08-26T17:30:00Z,Granada CF,Mallorca,La Liga - Spain
c1aefca23a8f75d9932d04f083b0c16a,soccer_spain_la_liga,betonlineag,h2h,Draw,2.97,2023-08-25T11:58:34Z,2023-08-26T17:30:00Z,Granada CF,Mallorca,La Liga - Spain
8dc8cdfc854e15f6596c68e9d0ac9dfb,soccer_spain_la_liga,bovada,h2h,Draw,3.5,2023-08-25T11:58:34Z,2023-08-26T19:30:00Z,Sevilla,Girona,La Liga - Spain
8dc8cdfc854e15f6596c68e9d0ac9dfb,soccer_spain_la_liga,betonlineag,h2h,Draw,3.33,2023-08-25T11:58:34Z,2023-08-26T19:30:00Z,Sevilla,Girona,La Liga - Spain
48c49b9a163905fe1130f4b4d154111b,soccer_spain_la_liga,bovada,h2h,Draw,3.65,2023-08-25T11:58:34Z,2023-08-27T15:30:00Z,Villarreal,Barcelona,La Liga - Spain
48c49b9a163905fe1130f4b4d154111b,soccer_spain_la_liga,betonlineag,h2h,Draw,3.71,2023-08-25T11:58:34Z,2023-08-27T15:30:00Z,Villarreal,Barcelona,La Liga - Spain
767e28847910339c02d8a029baa0c60d,soccer_spain_la_liga,bovada,h2h,Draw,3.5,2023-08-25T11:58:34Z,2023-08-27T17:30:00Z,Valencia,CA Osasuna,La Liga - Spain
767e28847910339c02d8a029baa0c60d,soccer_spain_la_liga,betonlineag,h2h,Draw,3.55,2023-08-25T11:58:34Z,2023-08-27T17:30:00Z,Valencia,CA Osasuna,La Liga - Spain
d669a001f525baaaf01743c102eb055b,soccer_spain_la_liga,bovada,h2h,Draw,3.7,2023-08-25T11:58:34Z,2023-08-27T19:30:00Z,Athletic Bilbao,Real Betis,La Liga - Spain
